,Name,NCode,Series,SCode,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,id_Name,id_Rating,Key
0,Angola,AGO,Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,89.69,75.39,57.08,54.32,58.38,65.53,63.47,67.91,72.48,58.76,61.54,60.67,55.94,50.75,44.7,29.75,28.12,29.0,40.84,40.79,35.64,44.28,70,2,0
1,Angola,AGO,GDP (current US$),NY.GDP.MKTP.CD,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5930503400.96,5550483035.96,5550483035.96,5784341596.36,6131475065.18,7553560459.22,7072063345.59,8083872012.37,8769250549.8,10201099039.44,11228764963.24,10603784541.2,8307810973.59,5768720421.61,4438321017.39,5538749259.95,7526446605.52,7648377412.83,6506229607.29,6152922942.98,9129594818.61,8936063723.2,15285594828.42,17812704825.2,23552047248.43,36970918699.25,52381006892.04,65266452081.39,88538610805.32,70307166934.33,81699526880.81,109436566876.42,124998210652.24,133401582620.49,137244439121.37,87219300384.51,49840491178.15,68972769395.63,77792944471.95,69309110145.77,53619073505.14,67404287260.32,70,2,1
2,Angola,AGO,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-4.4,0.0,4.2,6.0,3.5,2.9,4.08,6.13,0.04,-3.45,0.99,-5.84,-23.98,1.34,15.0,13.54,7.27,4.69,2.18,3.05,4.21,13.67,2.99,10.95,15.03,11.55,14.01,11.17,0.86,4.86,3.47,8.54,4.95,4.82,0.94,-2.58,-0.15,-1.32,-0.7,-5.6,1.1,70,2,2
3,Angola,AGO,Income share held by lowest 20%,SI.DST.FRST.20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.8,0.0,0.0,0.0,70,2,3
4,Angola,AGO,"Inflation, GDP deflator (annual %)",NY.GDP.DEFL.KD.ZG,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.1,0.0,0.01,0.0,19.04,-9.01,9.82,2.21,16.28,14.01,106.31,476.52,917.78,2175.98,1825.5,4800.53,95.45,39.36,557.5,418.02,106.35,196.98,93.93,33.44,42.37,17.12,4.31,19.37,-16.76,31.69,31.77,7.26,2.84,3.56,-3.51,21.77,22.62,28.17,19.18,18.16,33.62,70,2,4
5,Angola,AGO,Net migration,SM.POP.NETM,35014.0,40182.0,39146.0,38725.0,35245.0,44937.0,45001.0,47175.0,53078.0,52138.0,55830.0,61000.0,57744.0,54953.0,47774.0,46192.0,47815.0,46755.0,47663.0,33925.0,39196.0,38883.0,45272.0,40855.0,45356.0,49960.0,51856.0,51687.0,53527.0,56959.0,60505.0,59438.0,66585.0,64009.0,70170.0,73940.0,73804.0,77265.0,90016.0,94709.0,96056.0,91528.0,84532.0,74170.0,91623.0,77733.0,61632.0,58986.0,7557.0,29089.0,70,2,5
6,Angola,AGO,Poverty headcount ratio at $2.15 a day (2017 PPP) (% of population),SI.POV.DDAY,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31.1,0.0,0.0,0.0,70,2,6
7,Angola,AGO,Poverty headcount ratio at national poverty lines (% of population),SI.POV.NAHC,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32.3,0.0,0.0,0.0,70,2,7
8,Angola,AGO,"Prevalence of HIV, total (% of population ages 15-49)",SH.DYN.AIDS.ZS,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.3,0.3,0.4,0.5,0.6,0.7,0.8,0.9,1.0,1.1,1.2,1.4,1.4,1.5,1.6,1.7,1.8,1.8,1.9,1.9,1.9,1.9,1.9,1.9,1.9,1.8,1.8,1.7,1.7,1.6,1.6,70,2,8
9,Angola,AGO,"Prevalence of underweight, weight for age (% of children under 5)",SH.STA.MALN.ZS,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,70,2,9
10,Angola,AGO,"School enrollment, secondary (% gross)",SE.SEC.ENRR,6.34,7.06,0.0,0.0,0.0,0.0,8.11,0.0,10.68,13.77,9.69,8.71,10.66,8.99,10.13,9.75,8.18,9.06,8.4,8.93,10.1,0.0,0.0,0.0,0.0,0.0,10.82,10.75,12.27,13.85,14.98,0.0,0.0,0.0,0.0,0.0,21.29,22.69,26.26,26.48,0.0,0.0,0.0,0.0,50.67,0.0,0.0,0.0,0.0,0.0,70,2,10
11,Angola,AGO,"Total debt service (% of exports of goods, services and primary income)",DT.TDS.DECT.EX.ZS,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.4,8.14,10.68,6.15,5.12,8.15,12.14,18.43,19.23,41.42,27.05,20.93,33.12,16.96,15.31,13.63,10.75,13.22,9.92,2.53,9.7,5.74,5.75,8.39,8.34,13.54,24.98,38.31,25.62,26.4,33.15,39.62,33.35,70,2,11
